chapter,code,description
02,0210113900-39-00,Shoulders and cuts thereof
02,0210119000-90-00,Other
02,021012**00-**-00,Salted or in brine
02,0210121*00-1*-00,Salted or in brine
02,0210121100-11-00,Salted or in brine
02,0210121900-19-00,Dried or smoked
02,0210129000-90-00,Other
02,021019**00-**-00,Bacon sides or spencers
02,0210191000-10-00,Bacon sides or spencers
02,0210192000-20-00,Three-quarter sides or middles
02,0210193000-30-00,Fore-ends and cuts thereof
02,0210194000-40-00,Loins and cuts thereof
02,0210195000-50-00,Other
02,0210196000-60-00,Fore-ends and cuts thereof
02,0210197000-70-00,Loins and cuts thereof
02,0210198*00-8*-00,Boneless
02,0210198100-81-00,Boneless
02,0210198900-89-00,Other
02,0210199000-90-00,Other
02,021020**00-**-00,With bone in
02,0210201000-10-00,With bone in
02,0210209000-90-00,Boneless
02,0210910000-00-00,Of primates
02,021092**00-**-00,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)"
02,0210921000-10-00,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)"
02,0210929*00-9*-00,Meat
02,0210929100-91-00,Meat
02,0210929200-92-00,Offal
02,0210929900-99-00,Edible flours and meals of meat or meat offal
02,0210930000-00-00,Of reptiles (including snakes and turtles)
02,021099**00-**-00,"Of horses, salted, in brine or dried"
02,0210991000-10-00,"Of horses, salted, in brine or dried"
02,0210992*00-2*-00,With bone in
02,0210992100-21-00,With bone in
02,0210992900-29-00,Boneless
02,0210993*00-3*-00,Of reindeer
02,0210993100-31-00,Of reindeer
02,0210993900-39-00,Other
02,0210994*00-4*-00,Livers
02,0210994100-41-00,Livers
02,0210994900-49-00,Other
02,0210995*00-5*-00,Thick skirt and thin skirt
02,0210995100-51-00,Thick skirt and thin skirt
02,0210995900-59-00,Other
02,0210997*00-7*-00,"Fatty livers of geese or ducks, salted or in brine"
02,0210997100-71-00,"Fatty livers of geese or ducks, salted or in brine"
02,0210997900-79-00,Other
02,0210998*00-8*-00,Other
02,0210998500-85-00,Other
02,0210999000-90-00,Edible flours and meals of meat or meat offal
03,0301110000-00-00,Freshwater fish
03,0301190000-00-00,Other
03,030191**00-**-00,Of the species Oncorhynchus apache or Oncorhynchus chrysogaster
03,0301911000-10-00,Of the species Oncorhynchus apache or Oncorhynchus chrysogaster
03,0301919000-90-00,Other
03,030192**00-**-00,Of a length of less than 12 cm
03,0301921000-10-00,Of a length of less than 12 cm
03,0301923000-30-00,Of a length of 12 cm or more but less than 20 cm
03,0301929000-90-00,Of a length of 20 cm or more
03,0301930000-00-00,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
03,030194**00-**-00,Atlantic bluefin tuna (Thunnus thynnus)
03,0301941000-10-00,Atlantic bluefin tuna (Thunnus thynnus)
03,0301949000-90-00,Pacific bluefin tuna (Thunnus orientalis)
03,0301950000-00-00,Southern bluefin tuna (Thunnus maccoyii)
03,030199**00-**-00,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
03,0301991*00-1*-00,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
03,0301991100-11-00,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
03,0301991700-17-00,Other
03,0301998*00-8*-00,Other
03,0301998500-85-00,Other
03,030211**00-**-00,Of the species Oncorhynchus apache or Oncorhynchus chrysogaster
03,0302111000-10-00,Of the species Oncorhynchus apache or Oncorhynchus chrysogaster
03,0302112000-20-00,"Of the species Oncorhynchus mykiss, with heads and gills on, gutted, weighing more than 1,2 kg each, or with heads off, gilled and gutted, weighing more than 1 kg each"
03,0302118000-80-00,Other
03,0302130000-00-00,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)"
03,0302140000-00-00,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
03,0302190000-00-00,Other
03,030221**00-**-00,Lesser or Greenland halibut (Reinhardtius hippoglossoides)
03,0302211000-10-00,Lesser or Greenland halibut (Reinhardtius hippoglossoides)
03,0302213000-30-00,Atlantic halibut (Hippoglossus hippoglossus)
03,0302219000-90-00,Pacific halibut (Hippoglossus stenolepis)
03,0302220000-00-00,Plaice (Pleuronectes platessa)
03,0302230000-00-00,Sole (Solea spp.)
03,0302240000-00-00,Turbots (Psetta maxima)
03,030229**00-**-00,Megrim (Lepidorhombus spp.)
03,0302291000-10-00,Megrim (Lepidorhombus spp.)
03,0302298000-80-00,Other
03,030231**00-**-00,For the industrial manufacture of products of heading 1604
03,0302311000-10-00,For the industrial manufacture of products of heading 1604
03,0302319000-90-00,Other
03,030232**00-**-00,For the industrial manufacture of products of heading 1604
03,0302321000-10-00,For the industrial manufacture of products of heading 1604
03,0302329000-90-00,Other
03,030233**00-**-00,For the industrial manufacture of products of heading 1604
03,0302331000-10-00,For the industrial manufacture of products of heading 1604
03,0302339000-90-00,Other
03,030234**00-**-00,For the industrial manufacture of products of heading 1604
03,0302341000-10-00,For the industrial manufacture of products of heading 1604
03,0302349000-90-00,Other
03,030235**00-**-00,For the industrial manufacture of products of heading 1604
03,0302351*00-1*-00,For the industrial manufacture of products of heading 1604
03,0302351100-11-00,For the industrial manufacture of products of heading 1604
03,0302351900-19-00,Other
03,0302359*00-9*-00,For the industrial manufacture of products of heading 1604
03,0302359100-91-00,For the industrial manufacture of products of heading 1604
03,0302359900-99-00,Other
03,030236**00-**-00,For the industrial manufacture of products of heading 1604
03,0302361000-10-00,For the industrial manufacture of products of heading 1604
03,0302369000-90-00,Other
03,030239**00-**-00,For the industrial manufacture of products of heading 1604
03,0302392000-20-00,For the industrial manufacture of products of heading 1604
03,0302398000-80-00,Other
03,0302410000-00-00,"Herrings (Clupea harengus, Clupea pallasii)"
03,0302420000-00-00,Anchovies (Engraulis spp.)
03,030243**00-**-00,Sardines of the species Sardina pilchardus
03,0302431000-10-00,Sardines of the species Sardina pilchardus
03,0302433000-30-00,Sardines of the genus Sardinops; sardinella (Sardinella spp.)
03,0302439000-90-00,Brisling or sprats (Sprattus sprattus)
03,0302440000-00-00,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
03,030245**00-**-00,Atlantic horse mackerel (Trachurus trachurus)
03,0302451000-10-00,Atlantic horse mackerel (Trachurus trachurus)
03,0302453000-30-00,Chilean jack mackerel (Trachurus murphyi)
03,0302459000-90-00,Other
03,0302460000-00-00,Cobia (Rachycentron canadum)
03,0302470000-00-00,Swordfish (Xiphias gladius)
03,030249**00-**-00,For the industrial manufacture of products of heading 1604
03,0302491*00-1*-00,For the industrial manufacture of products of heading 1604
03,0302491100-11-00,For the industrial manufacture of products of heading 1604
03,0302491900-19-00,Other
03,0302499000-90-00,Other
03,030251**00-**-00,Of the species Gadus morhua
03,0302511000-10-00,Of the species Gadus morhua
03,0302519000-90-00,Other
03,0302520000-00-00,Haddock (Melanogrammus aeglefinus)
03,0302530000-00-00,Coalfish (Pollachius virens)
03,030254**00-**-00,Cape hake (shallow-water hake) (Merluccius capensis) and deepwater hake (deepwater Cape hake) (Merluccius paradoxus)
03,0302541*00-1*-00,Cape hake (shallow-water hake) (Merluccius capensis) and deepwater hake (deepwater Cape hake) (Merluccius paradoxus)
03,0302541100-11-00,Cape hake (shallow-water hake) (Merluccius capensis) and deepwater hake (deepwater Cape hake) (Merluccius paradoxus)
03,0302541500-15-00,Southern hake (Merluccius australis)
03,0302541900-19-00,Other
03,0302549000-90-00,Hake of the genus Urophycis
03,0302550000-00-00,Alaska pollock (Theragra chalcogramma)
03,0302560000-00-00,"Blue whiting (Micromesistius poutassou, Micromesistius australis)"
03,030259**00-**-00,Polar cod (Boreogadus saida)
03,0302591000-10-00,Polar cod (Boreogadus saida)
03,0302592000-20-00,Whiting (Merlangius merlangus)
03,0302593000-30-00,Pollack (Pollachius pollachius)
03,0302594000-40-00,Ling (Molva spp.)
03,0302599000-90-00,Other
03,0302710000-00-00,Tilapias (Oreochromis spp.)
